trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.40727560769397786, 'e': 0.20727560769397785}",20,6,20.91812797375569,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.40658419153976993, 'e': 0.20658419153976992}",20,12,15.259528419669959,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.40589687876968705, 'e': 0.20589687876968707}",35,18,27.014541834998216,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.40521362096579366, 'e': 0.20521362096579365}",20,10,17.220450374230943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.40453437056209235, 'e': 0.20453437056209234}",30,20,17.45843160475867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.40385908082465366, 'e': 0.20385908082465365}",25,18,11.01316290641372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4031877058323213, 'e': 0.20318770583232126}",25,15,19.156543315138983,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.40252020045797343, 'e': 0.20252020045797342}",25,19,11.70439916102463,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.4018565203503215, 'e': 0.2018565203503215}",25,11,18.883241966055078,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.40119662191622674, 'e': 0.20119662191622673}",35,20,31.98143768236574,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.40054046230351825, 'e': 0.20054046230351827}",20,0,27.913590254375112,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.399887999384295, 'e': 0.19988799938429497}",20,7,24.315362528899996,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3992391917386952, 'e': 0.1992391917386952}",30,7,36.2513126087388,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.39859399863911843, 'e': 0.19859399863911842}",20,6,19.489702102010416,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3979523800348842, 'e': 0.19795238003488416}",20,0,28.57151927937119,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.3973142965373134, 'e': 0.1973142965373134}",25,8,26.836059055344958,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.39667970940521885, 'e': 0.19667970940521884}",20,0,25.67764061172274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.3960485805307903, 'e': 0.1960485805307903}",35,26,18.304554489461562,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.395420872425863, 'e': 0.195420872425863}",30,20,16.75787806039419,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.3947965482085557, 'e': 0.19479654820855566}",25,12,24.985396642313823,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.39417557159026695, 'e': 0.19417557159026694}",20,15,8.609706272541278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3935579068630187, 'e': 0.19355790686301869}",25,10,18.666280398499374,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.39294351888713486, 'e': 0.19294351888713487}",25,12,22.273867105281475,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3923323730792456, 'e': 0.19233237307924558}",25,19,12.988919070288889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.391724435400606, 'e': 0.19172443540060596}",20,5,22.39459856512595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3911196723457201, 'e': 0.19111967234572008}",20,16,8.326460976460606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.39051805093126035, 'e': 0.1905180509312603}",20,16,7.567133855626384,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.38991953868527307, 'e': 0.18991953868527303}",20,16,8.365730445300459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3893241036366618, 'e': 0.1893241036366618}",25,13,20.799978945251407,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3887317143049397, 'e': 0.18873171430493965}",25,13,25.384010980845396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
